"drug_clean"
"abacavir"
"acetylsalicylic acid"
"alendronate"
"allopurinol"
"amitriptyline"
"amlodipine"
"anastrozole"
"anhydrous"
"aqueous"
"aspirin"
"atazanavir"
"atenolol"
"atorvastatin"
"atropine"
"beclometasone"
"beclomethasone"
"betamethasone valerate"
"betaxolol"
"bezafibrate"
"bimatoprost"
"blood glucose test strips"
"brimonidine"
"budesonide"
"calciferol 0iutab"
"calcium"
"calcium carbonate"
"calcium elemental"
"carbamazepine"
"carbamazepine cr2"
"carbidopa"
"carbimazole"
"carvedilol"
"castor oil"
"cetirizine"
"chloramphenicol"
"chlorphenamine"
"chlorpheniramine maleate"
"chlorpromazine"
"citalopram"
"clozapine"
"co-trimoxazole"
"conjugated estrogens"
"cromoglicic acid"
"cyproterone"
"cyproterone acetate"
"dexamethasone"
"diclofenac"
"digoxin"
"docusate"
"dolutegravir"
"dorzolamide"
"doxazosin"
"efavirenz"
"emtricitabine"
"emulsifying"
"enalapril"
"ergocalciferol"
"estradiol"
"estrogen"
"ethinyl estradiol"
"ethinyl oestradiol"
"ethinylestradiol"
"ferrous"
"ferrous sulfate"
"ferrous sulphate co"
"fluoxetine"
"flupenthixol"
"fluticasone"
"fluticasone aqueous"
"folic acid"
"formoterol"
"formoterol fumarate 2ug 0dose"
"furosemide"
"glibenclamide"
"glimepiride"
"glycine"
"haloperidol"
"hydralazine"
"hydrochlorothiazide"
"hydrocortisone"
"hydroxypropylmethylcellulose"
"hypromellose"
"ibuprofen"
"indometacin"
"indomethacin"
"insulin"
"insulin biphasic units"
"insulin isophane units"
"ipratropium bromide"
"isoniazid"
"isophane"
"isophane penset"
"isosorbide"
"isosorbide dinitrate"
"isosorbide mononitrate"
"iud"
"ketorolac"
"lactulose"
"lamivudine"
"lamotrigine"
"lanolin"
"lanolin anhydrous"
"lansoprazole"
"latanoprost"
"levodopa"
"levonorgestrel"
"levonorgestrel as progestogentab"
"levothyroxine"
"levothyroxine sodium"
"lithium"
"lopinavir"
"losartan"
"magnesium chloride"
"medroxyprogesterone"
"medroxyprogesterone acetate"
"metformin"
"methotrexate"
"methyl salicylate"
"methyldopa"
"metoclopramide"
"metoclopramide hcl"
"nevirapine"
"nicotinamide"
"norethisterone"
"norethisterone acetate"
"norethisterone acetate1mg"
"norgestrel"
"null"
"oestradiol"
"oestrogen conjugated"
"olanzapine"
"olopatadine"
"omeprazole"
"omeprazole ect"
"orphenadrine"
"oxybutynin"
"oxymetazoline"
"pancreatin"
"pantoprazole"
"paracetamol"
"penset"
"phenobarbital"
"phenobarbitone"
"phenytoin"
"potassium chloride"
"prednisolone"
"prednisone"
"propranolol"
"pyridostigmine"
"pyridoxine"
"pyridoxine2"
"quetiapine"
"risedronic acid"
"risperidone"
"ritonavir"
"rosuvastatin"
"salbutamol"
"salbutamol metered"
"salmeterol"
"senna"
"senna glycosides"
"sennosides a + b"
"simvastatin"
"sodium cromoglycate"
"sodium valproate"
"spironolactone"
"sulfamethoxazole"
"sulfasalazine"
"sulfasalazine ec"
"sun protection spf"
"tamoxifen"
"tamoxifen citrate"
"tamsulosin"
"tee - tenofovir"
"tenofovir"
"tenofovir disoproxil"
"tenofovir disoproxil fumarate"
"theophylline"
"thiamine"
"thyroxine"
"timolol"
"timolol maleate"
"titanium dioxide"
"tld-tenofovir"
"tramadol"
"travoprost"
"tretinoin"
"trimethoprim"
"valproate"
"valproate sodium"
"valproic acid"
"venlafaxine"
"verapamil"
"vitamin b complex"
"vitamin b10mg"
"vitamin d drops50u"
"warfarin"
"zidovudine"
"zinc"
"zuclopenthixol"
